fragment,volume_key,pixel_size_um,prop_distance_m,energy_keV,delta_beta,raw_edge_strength,raw_bimodal_snr,raw_local_contrast,filtered_edge_strength,filtered_bimodal_snr,filtered_local_contrast,edge_reduction_pct,efficiency
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,50,314.9158630371094,2.1056621699818576,0.392419695854187,222.64959716796875,2.425136794682959,0.32878002524375916,29.29870378052949,0.00346252903693107
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,100,314.9158630371094,2.1056621699818576,0.392419695854187,184.739501953125,2.456753406671767,0.29687151312828064,41.33687005428638,0.0026970429482461858
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,200,314.9158630371094,2.1056621699818576,0.392419695854187,142.45794677734375,2.480225138870975,0.2589544951915741,54.7631721681303,0.0021719093968694952
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,500,314.9158630371094,2.1056621699818576,0.392419695854187,92.94658660888672,2.5013056797849926,0.20450465381145477,70.48526367884682,0.0017824246497963997
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,1000,314.9158630371094,2.1056621699818576,0.392419695854187,63.635807037353516,2.503437908680074,0.16407541930675507,79.79275911234274,0.0015829976522235536
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,2000,314.9158630371094,2.1056621699818576,0.392419695854187,41.56766128540039,2.5869933714697866,0.1272357851266861,86.80039141740468,0.0017608720247778973
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,5000,314.9158630371094,2.1056621699818576,0.392419695854187,22.4067325592041,2.861014788763809,0.08669211715459824,92.88485110178026,0.0025823215075298543
PHerc0500P2,9.362um-1.2m-113keV,9.362,1.2,113.0,10000,314.9158630371094,2.1056621699818576,0.392419695854187,13.711653709411621,3.172219040334884,0.06276046484708786,95.64593108229805,0.0035409759801618727
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,50,135.09255981445312,2.7176865314975966,0.34982994198799133,91.75440216064453,2.701520479722003,0.29267436265945435,32.08034381266642,-0.00037302120465596277
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,100,135.09255981445312,2.7176865314975966,0.34982994198799133,74.96107482910156,2.6808947587550094,0.26225075125694275,44.511322509500836,-0.0006118553824431576
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,200,135.09255981445312,2.7176865314975966,0.34982994198799133,57.851993560791016,2.660053089753952,0.22448907792568207,57.17603275839207,-0.0007461550910226829
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,500,135.09255981445312,2.7176865314975966,0.34982994198799133,37.80635070800781,2.630731172329398,0.16839095950126648,72.01448343274117,-0.0008938097184263496
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,1000,135.09255981445312,2.7176865314975966,0.34982994198799133,25.889835357666016,2.5912850091935398,0.12683668732643127,80.83548391323315,-0.0011574942194237613
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,2000,135.09255981445312,2.7176865314975966,0.34982994198799133,16.969755172729492,2.2908459886168,0.09053204953670502,87.43842355490405,-0.0036135320709277077
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,5000,135.09255981445312,2.7176865314975966,0.34982994198799133,9.174443244934082,1.792371532355278,0.05386781692504883,93.20877237241267,-0.007348545422623557
PHerc0500P2,4.317um-1.2m-111keV,4.317,1.2,111.0,10000,135.09255981445312,2.7176865314975966,0.34982994198799133,5.601694107055664,1.5248156140431262,0.03471297398209572,95.85343995646431,-0.009212008205659289
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,50,129.18978881835938,2.7238264534281145,0.2665806710720062,72.105712890625,2.8184646815423826,0.22004084289073944,44.18621351567846,0.0016578743997551167
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,100,129.18978881835938,2.7238264534281145,0.2665806710720062,57.92142868041992,2.7861187749493914,0.19925054907798767,55.165629412199635,0.0008740529654493321
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,200,129.18978881835938,2.7238264534281145,0.2665806710720062,44.71144104003906,2.665275173680381,0.17383511364459991,65.39088619232649,-0.0006930921506819463
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,500,129.18978881835938,2.7238264534281145,0.2665806710720062,29.918302536010742,2.30306141531133,0.13511309027671814,76.84158878990365,-0.004238528643764252
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,1000,129.18978881835938,2.7238264534281145,0.2665806710720062,21.194690704345703,1.92196130505836,0.1049240231513977,83.59414401230627,-0.007425014305030783
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,2000,129.18978881835938,2.7238264534281145,0.2665806710720062,14.496233940124512,1.5280758233109266,0.07733284682035446,88.77911786007624,-0.010425613116505666
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,5000,129.18978881835938,2.7238264534281145,0.2665806710720062,8.41466236114502,0.9270637674333976,0.0484028086066246,93.48658865525663,-0.01487692655516478
PHerc0500P2,2.215um-0.4m-111keV,2.215,0.4,111.0,10000,129.18978881835938,2.7238264534281145,0.2665806710720062,5.443972587585449,0.8734139298699688,0.032759908586740494,95.78606588231237,-0.014953334019045186
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,50,314.1018981933594,3.108953299095787,0.3484521210193634,213.79049682617188,3.318137884748752,0.2839830815792084,31.935942426376663,0.0020853520417609367
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,100,314.1018981933594,3.108953299095787,0.3484521210193634,172.70968627929688,3.368773064294364,0.25304144620895386,45.01475881786051,0.0018375818701845783
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,200,314.1018981933594,3.108953299095787,0.3484521210193634,130.9454803466797,3.3744584916058002,0.21717572212219238,58.311146446472485,0.001449609004322567
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,500,314.1018981933594,3.108953299095787,0.3484521210193634,82.83358764648438,3.452730436911702,0.16732586920261383,73.62843455486141,0.0014864861381267186
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,1000,314.1018981933594,3.108953299095787,0.3484521210193634,55.189170837402344,2.76492524113791,0.13166674971580505,82.42953285069669,-0.001328741392789479
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,2000,314.1018981933594,3.108953299095787,0.3484521210193634,35.283660888671875,2.394044010537822,0.10024765133857727,88.76681067780385,-0.002564069321536974
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,5000,314.1018981933594,3.108953299095787,0.3484521210193634,18.85801887512207,1.9925440932691516,0.06690569221973419,93.99620983394593,-0.003781311939148722
PHerc0343P,8.640um-1.2m-116keV,8.64,1.2,116.0,10000,314.1018981933594,3.108953299095787,0.3484521210193634,11.649569511413574,1.7840101853865613,0.047928307205438614,96.2911495987706,-0.004380667589775827
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,50,112.60550689697266,3.67482684099695,0.17516431212425232,67.6209716796875,3.86057457370752,0.1487216353416443,39.94878799173057,0.00412914642361798
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,100,112.60550689697266,3.67482684099695,0.17516431212425232,54.5850944519043,3.949065983436565,0.1360515058040619,51.52537743838192,0.004726597603890787
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,200,112.60550689697266,3.67482684099695,0.17516431212425232,42.21110534667969,4.084838737706746,0.12090206891298294,62.51417314314802,0.005824495807622783
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,500,112.60550689697266,3.67482684099695,0.17516431212425232,28.443742752075195,4.365111678581834,0.09866210073232651,74.74036258448751,0.00820188175234127
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,1000,112.60550689697266,3.67482684099695,0.17516431212425232,20.44807243347168,4.625650962809112,0.08192195743322372,81.84096586663345,0.010317389230151982
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,2000,112.60550689697266,3.67482684099695,0.17516431212425232,14.542706489562988,4.793347519107188,0.06665436923503876,87.08526173336381,0.011406167001791256
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,5000,112.60550689697266,3.67482684099695,0.17516431212425232,9.404491424560547,4.7408022757956765,0.049736056476831436,91.64828463214938,0.010329117692487098
PHerc0343P,2.215um-0.4m-111keV,2.215,0.4,111.0,10000,112.60550689697266,3.67482684099695,0.17516431212425232,6.84712028503418,4.511725935569129,0.03947896882891655,93.91937350692902,0.00791331185528606
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,50,275.1763000488281,1.7880100837308337,0.264816015958786,187.48594665527344,1.6937856934047126,0.21750475466251373,31.86697160256703,-0.001074512608054407
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,100,275.1763000488281,1.7880100837308337,0.264816015958786,151.61776733398438,1.6281601253217746,0.19516530632972717,44.90158952385039,-0.0012937184903123692
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,200,275.1763000488281,1.7880100837308337,0.264816015958786,115.24299621582031,1.180193349990359,0.169624924659729,58.120304620938924,-0.00380043880275942
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,500,275.1763000488281,1.7880100837308337,0.264816015958786,73.85382080078125,0.9883499278537436,0.13440224528312683,73.16127123314166,-0.003972036102793265
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,1000,275.1763000488281,1.7880100837308337,0.264816015958786,50.28981399536133,0.9063315597141836,0.10879406332969666,81.72451116377472,-0.003920549160108406
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,2000,275.1763000488281,1.7880100837308337,0.264816015958786,33.374881744384766,0.907002265059598,0.08524177968502045,87.87145486785649,-0.0036435179944312437
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,5000,275.1763000488281,1.7880100837308337,0.264816015958786,19.044458389282227,0.8629865675750684,0.05833309888839722,93.07917928037301,-0.0036115131572954516
PHerc0009B,8.640um-1.2m-116keV,8.64,1.2,116.0,10000,275.1763000488281,1.7880100837308337,0.264816015958786,12.381272315979004,0.7841320825086121,0.041831810027360916,95.50060368070142,-0.0038200037872966877
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,50,224.03570556640625,3.2341290722518545,0.28718996047973633,130.16415405273438,3.4608833478655048,0.22966524958610535,41.90026374427512,0.002415580353762713
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,100,224.03570556640625,3.2341290722518545,0.28718996047973633,104.1676025390625,3.5664599182948256,0.205996572971344,53.50401746199056,0.0027724710548490223
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,200,224.03570556640625,3.2341290722518545,0.28718996047973633,79.9384994506836,3.7045128461928156,0.17881062626838684,64.31885745685788,0.003264350410536078
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,500,224.03570556640625,3.2341290722518545,0.28718996047973633,53.58859634399414,3.850063650076926,0.1405472457408905,76.08033228073549,0.003613640504875645
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,1000,224.03570556640625,3.2341290722518545,0.28718996047973633,38.626220703125,3.935633287604968,0.1129867359995842,82.75889970062124,0.003783540070079987
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,2000,224.03570556640625,3.2341290722518545,0.28718996047973633,27.61625862121582,4.076966939534716,0.0889507532119751,87.67327799316787,0.004291010286359529
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,5000,224.03570556640625,3.2341290722518545,0.28718996047973633,18.055774688720703,4.201160782606581,0.06329654902219772,91.94067095551928,0.004694786070828263
PHerc0009B,2.401um-0.3m-77keV,2.401,0.3,77.0,10000,224.03570556640625,3.2341290722518545,0.28718996047973633,13.069697380065918,3.9305038482046664,0.04779840260744095,94.16624356951355,0.0033008861566822824
